선명,입항횟수,입항횟수.1,외내,입출,총톤수,입항일시,출항일시,계선장소,차항지,전출항지,선박용도,number,예선,도선
SAEHAN VIRTUS,2021,3,외항,출항,"3,428",2021-04-02 18:48,2021-04-03 14:25,가스부두,NINGBO PT,ZHAPU PT,LPG 운반선,2,N,N
KEOYOUNG DREAM 3,2021,11,외항,입항,"2,490",2021-04-02 19:30,2021-04-04 11:55,일반부두 08,TOKUYAMA,TSURUGA,석유제품 운반선,11,Y,N
KEOYOUNG DREAM 3,2021,11,외항,출항,"2,490",2021-04-02 19:30,2021-04-04 11:55,7부두 01,TOKUYAMA,TSURUGA,석유제품 운반선,11,Y,Y
팰러스호,2021,5,내항,출항,"1,734",2021-04-02 19:30,2021-04-03 08:05,4부두 02,여수,여수,석유제품 운반선,11,Y,Y
팰러스호,2021,5,내항,입항,"1,734",2021-04-02 19:30,2021-04-03 08:05,4부두 02,여수,여수,석유제품 운반선,11,Y,N
제23금진,2021,3,내항,입항,"1,691",2021-04-02 20:20,2021-04-03 14:55,2부두 01,옥계항,인천,일반화물선,19,Y,N
제23금진,2021,3,내항,출항,"1,691",2021-04-02 20:20,2021-04-03 14:55,2부두 01,옥계항,인천,일반화물선,19,Y,N
1거성,2021,4,내항,출항,287,2021-04-02 20:40,2021-04-03 03:20,2부두 03,동해,부산,석유제품 운반선,11,N,N
ANGEL BLUE,2021,20,외항,출항,"1,637",2021-04-02 20:40,2021-04-06 13:15,SK1부두 11,"FUKUOKA, FUKUOKA",KAJIKI,석유제품 운반선,11,Y,Y
CHEMROAD HOPE,2021,1,외항,입항,"19,984",2021-04-02 21:20,2021-04-07 09:55,SK3부두,여수,JIANGYIN PT,케미칼 운반선,22,Y,Y
CORAL ACROPORA,2021,5,외항,출항,"6,288",2021-04-02 21:50,2021-04-04 10:50,2부두 01,QINGDAO,대산,LPG 운반선,2,Y,Y
BLACK DRAGON,2021,6,외항,입항,"2,106",2021-04-02 22:05,2021-04-03 23:00,8부두 02,TOMAKOMAI,CHIBA,석유제품 운반선,11,Y,Y
BLACK DRAGON,2021,6,외항,출항,"2,106",2021-04-02 22:05,2021-04-03 23:00,SK1부두 11,TOMAKOMAI,CHIBA,석유제품 운반선,11,Y,N
KEOYOUNG STAR 3,2021,7,외항,출항,"1,826",2021-04-02 22:10,2021-04-04 00:50,가스부두,MIZUSHIMA,여수,케미칼 운반선,22,Y,Y
태진,2021,24,내항,출항,743,2021-04-02 22:35,2021-04-05 00:25,SK2부두 02,부산,부산,석유제품 운반선,11,Y,Y
SUPER EASTERN,2021,1,외항,출항,"8,231",2021-04-02 22:45,2021-04-04 22:45,8부두 02,TIANJIN,SINGAPORE,석유제품 운반선,11,N,N
SUPER EASTERN,2021,1,외항,입항,"8,231",2021-04-02 22:45,2021-04-04 22:45,4부두 01,SINGAPORE,SINGAPORE,석유제품 운반선,11,N,N
진양1호,2021,30,내항,출항,"1,995",2021-04-02 23:00,2021-04-03 12:30,SK2부두 01,부산,마산,석유제품 운반선,11,Y,Y
G POSEIDON,2021,1,외항,입항,"72,408",2021-04-02 23:15,2021-04-04 10:00,자동차부두 01,광양,DALIAN,자동차운반선,20,Y,N
G POSEIDON,2021,1,외항,출항,"72,408",2021-04-02 23:15,2021-04-04 10:00,6부두 02,평택.당진,DALIAN,자동차운반선,20,Y,N
FAIRCHEM MAKO,2021,1,외항,입항,"15,818",2021-04-02 23:20,2021-04-08 13:30,6부두 04,MEJILLONES,TAICANG,케미칼 운반선,22,Y,Y
디엘 제이드,2021,6,내항,출항,"5,199",2021-04-02 23:45,2021-04-03 20:40,SK5부두,부산,인천,석유제품 운반선,11,Y,N
